# Entity to Wikidata ID Mapping
# Format: original_entity_name	wikidata_id	label	description	similarity_score

15 teams	NO_MATCH	N/A	N/A	0.000
16 pieces	Q2808883	16 pièces	2010 album by Hocus Pocus	0.977
1618 and 1648	NO_MATCH	N/A	N/A	0.000
1621	Q12681533	1621	natural number	1.000
1623	Q12681538	1623	natural number	1.000
1635	Q12681543	1635	natural number	1.000
1679	Q19241371	1679	natural number	1.000
1690	Q19241386	1690	natural number	1.000
1718	Q12681582	1718	natural number	1.000
1726	Q12681590	1726	natural number	1.000
1754	Q13634641	1754	natural number	1.000
1763	Q13634623	1763	natural number	1.000
1791	Q13634666	1791	natural number	1.000
1792	Q12681618	1792	natural number	1.000
1810 to 1897	NO_MATCH	N/A	N/A	0.000
1841	Q19241466	1841	natural number	1.000
1848	Q7647	1848	year	1.000
1855	Q19241489	1855	natural number	1.000
1883	Q19241523	1883	natural number	1.000
1888	Q7829	1888	year	1.000
19 sports	NO_MATCH	N/A	N/A	0.000
1901	Q2035	1901	common year starting on Tuesday	1.000
1903	Q2045	1903	common year starting on Thursday	1.000
1910 and 1913	NO_MATCH	N/A	N/A	0.000
1919	Q2157	1919	year	1.000
1936	Q18649	1936	year	1.000
1937	Q18647	1937	year	1.000
1942	Q18625	1942	year	1.000
1943	Q18623	1943	year	1.000
1946	Q18610	1946	year	1.000
1956	Q5221	1956	year	1.000
1958	Q5253	1958	year	1.000
1959	Q5302	1959	year	1.000
1961	Q3696	1961	year	1.000
1963	Q2755	1963	year	1.000
1968	Q2644	1968	year	1.000
1969	Q2485	1969	year	1.000
1970	Q2474	1970	year	1.000
1974	Q2478	1974	year	1.000
1975	Q2479	1975	year	1.000
1978	Q2483	1978	year	1.000
1979	Q2484	1979	year	1.000
1980s	Q34644	1980s	decade of the Gregorian calendar that began on January 1, 1980	1.000
1981	Q2437	1981	year	1.000
1983	Q2434	1983	year	1.000
1984	Q2432	1984	year	1.000
1986	Q2430	1986	year	1.000
1987	Q2429	1987	year	1.000
1988	Q2426	1988	year	1.000
1990	Q2064	1990	year	1.000
1992	Q2060	1992	year	1.000
1993	Q2065	1993	year	1.000
1994	Q2067	1994	year	1.000
1995	Q2068	1995	year	1.000
1996	Q2070	1996	year	1.000
1998	Q2089	1998	year	1.000
1999	Q2091	1999	year	1.000
2000	Q1985	2000	calendar year	1.000
2001	Q1988	2001	year	1.000
2002	Q1987	2002	calendar year	1.000
2003	Q1986	2003	year	1.000
2007	Q2024	2007	calendar year	1.000
2009	Q1996	2009	year	1.000
2011	Q1994	2011	year	1.000
2012	Q1990	2012	year	1.000
24 in the United States	NO_MATCH	N/A	N/A	0.000
24,935	NO_MATCH	N/A	N/A	0.000
268 AD	Q81176	268 BC	year	1.000
27	Q433353	27	natural number	1.000
270 to 310 AD	NO_MATCH	N/A	N/A	0.000
29 BC	Q40835	29 BC	common year of the Julian calendar	1.000
29 BC and 19 BC	NO_MATCH	N/A	N/A	0.000
30 cm tall	NO_MATCH	N/A	N/A	0.000
31 teams	NO_MATCH	N/A	N/A	0.000
32 years	Q24885347	32 Years of Robot Rebel		0.516
33 coral atolls and islands	NO_MATCH	N/A	N/A	0.000
330 BC	Q48182	330 BC	year	1.000
342 to 330 BC	NO_MATCH	N/A	N/A	0.000
344,400 square kilometers	NO_MATCH	N/A	N/A	0.000
36 BC	Q4063	36 BC	year	1.000
360 miles long	NO_MATCH	N/A	N/A	0.000
4 suits of spades, hearts, diamonds, and clubs	NO_MATCH	N/A	N/A	0.000
40 miles per hour	NO_MATCH	N/A	N/A	0.000
400 to 405 AD	NO_MATCH	N/A	N/A	0.000
435 voting members	NO_MATCH	N/A	N/A	0.000
465-424 BCE	NO_MATCH	N/A	N/A	0.000
486-465 BCE	NO_MATCH	N/A	N/A	0.000
488 to 498 AD	NO_MATCH	N/A	N/A	0.000
5 meters in length	NO_MATCH	N/A	N/A	0.000
507 to 531 AD	NO_MATCH	N/A	N/A	0.000
540 million years ago	NO_MATCH	N/A	N/A	0.000
60 cm tall	NO_MATCH	N/A	N/A	0.000
600 species of coral	NO_MATCH	N/A	N/A	0.000
619	Q857807	619	natural number	1.000
625	Q1048686	625	natural number	1.000
63	Q712986	63	natural number	1.000
64 squares	NO_MATCH	N/A	N/A	0.000
7 in Canada	NO_MATCH	N/A	N/A	0.000
70 AD	Q41147	70 BC	year	1.000
75 years	Q60255235	75 years	maximum age	1.000
79	Q713148	79	natural number	1.000
8-10 million	NO_MATCH	N/A	N/A	0.000
81.8%	NO_MATCH	N/A	N/A	0.000
84 BC	Q41141	84 BC	year	1.000
858	Q1492412	858	natural number	1.000
860	Q1492421	860	natural number	1.000
867	Q1492435	867	natural number	1.000
877	Q851482	877	natural number	1.000
886	Q1416658	886	natural number	1.000
91	Q690992	91	natural number	1.000
974	Q1413547	974	natural number	1.000
983	Q828611	983	natural number	1.000
A Night at the Opera	Q193477	A Night at the Opera	1975 studio album by Queen	1.000
A Vindication of the Rights of Woman	Q300646	A Vindication of the Rights of Woman	work by Mary Wollstonecraft	1.000
AD 506	Q27074311	AD-5061	chemical compound	0.821
ADSL	Q62258585	ADSL	protein-coding gene found in Trypanosoma cruzi	1.000
AL champion	NO_MATCH	N/A	N/A	0.000
Aaron Tokona	Q28840380	Aaron Tokona	New Zealand guitarist and singer	1.000
Abel-meholah	Q4666524	Abel-meholah	city mentioned in the Hebrew Bible	1.000
Abihud	Q321170	Abiud	Biblical character (Gospel of Matthew)	1.000
ActiveX Data Objects	Q344005	ActiveX Data Objects	component Object Model APIs for accessing data sources	1.000
Adam Shankman	Q350903	Adam Shankman	American actor, director, choreographer and dancer	1.000
Adam's Rib	Q1059199	Adam's Rib	1949 film by George Cukor	1.000
Adûnaic	Q1750889	Adûnaic	fictional language from J.R.R. Tolkien's legendarium	1.000
Aeacid dynasty	NO_MATCH	N/A	N/A	0.000
Aeneas	Q20000656	Aeneas	male given name	1.000
Aesacus	Q409520	Aesacus	son of Priam in Greek mythology	1.000
Aetius of Antioch	Q16442	Aëtius of Antioch	founder of an Arian Christian movement	1.000
Afghan Air Force	Q1814147	Afghan Air Force	former air warfare branch of Afghanistan's armed forces	1.000
Afghan Armed Forces	Q11062919	Afghan Armed Forces	military of Afghanistan	1.000
Afghan National Army	Q383108	Afghan National Army	branch of the Afghan Armed Forces	1.000
Africa	Q15	Africa	continent	1.000
African slaves	Q63694178	African Slaves, English Slave Narratives, and Early Modern Morocco		0.350
Ahasuerus	Q21143681	Ahasuerus	given name	1.000
Ahithophel	NO_MATCH	N/A	N/A	0.000
Ailanthus	Q160580	Ailanthus	genus of plants	1.000
Ailanthus altissima	Q159570	Ailanthus altissima	species of plant	1.000
Air travel	Q1757562	air transport	economic activity defined by the French classification of activities (for the general activity, use Q118984357)	1.000
Airborne radio relay	Q4698466	airborne radio relay		1.000
Aircraft	Q11436	aircraft	machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface	1.000
Alan Turing	Q7251	Alan Turing	English computer scientist (1912–1954)	1.000
Alaric II	Q110884	Alaric II	King of the Visigoths Balti dynasty	1.000
Albert Von Tilzer	Q324526	Albert Von Tilzer	American songwriter	1.000
Alcamo	Q481544	Alcamo	Italian commune in Sicily	1.000
Alcippe	Q583659	Alcippe	genus of birds	1.000
Alcippe's story	NO_MATCH	N/A	N/A	0.000
Alexander I of Epirus	Q335658	Alexandros I of Epirus	King of Epirus from 343/2 to 331 BC	1.000
Alexandria	Q87	Alexandria	city in Egypt	1.000
Alexandria Aces	Q4720936	Alexandria Aces	defunct American baseball team in Louisiana	1.000
Alexandria, Virginia	Q88	Alexandria	city in the state of Virginia, United States	1.000
Alexei Petrovich	Q1849339	Alexei Popogrebski	Russian film director and screenwriter	1.000
Alfred North Whitehead	Q183372	Alfred North Whitehead	English mathematician and philosopher (1861–1947)	1.000
Alkaloids	Q70702	alkaloid	class of naturally occurring chemical compounds	1.000
Allies	Q65097022	Allies	family name	1.000
Almudaina Palace	NO_MATCH	N/A	N/A	0.000
Amblycera	Q1936744	Amblycera	suborder of insects	1.000
Amblycera lice	NO_MATCH	N/A	N/A	0.000
Ambrosians	Q3885412	Ambrosians	Members of religious orders	1.000
American League	Q465469	American League	baseball league, part of Major League Baseball	1.000
American forces	Q464570	American Forces Network	American broadcast radio and television network operated by the United States Armed Forces	0.875
Ammonia	Q21996249	Ammonia	genus of foraminifers	1.000
Ammonius Hermiae	Q123147	Ammonius Hermiae	5th-century Greek philosopher	1.000
Ammonius Hermiae's teachings	NO_MATCH	N/A	N/A	0.000
Amount of melanin produced by melanocytes	NO_MATCH	N/A	N/A	0.000
Androphagi	Q2986876	Androphagi	ancient tribe described by Herodotus	1.000
Angel of the North sculpture	NO_MATCH	N/A	N/A	0.000
Animals	Q27725748	Animals	scientific journal	1.000
Anne Nurmi	Q2495733	Anne Nurmi	Finnish singer, composer and keyboard player	1.000
Anthropologists	Q47322459	Anthropologists unite!	scientific article published in February 2011	0.881
Anthropology	Q23404	anthropology	scientific study of humans, human behavior, and societies	1.000
Antoine Thomson d'Abbadie	Q370987	Antoine Thomson d'Abbadie	Irish-born French explorer, geographer, ethnologist, linguist and astronomer (1810-1897)	1.000
Anwar Sadat	Q42013	Anwar Sadat	President of Egypt from 1970 to 1981	1.000
Apollo missions	NO_MATCH	N/A	N/A	0.000
April and May of that year	NO_MATCH	N/A	N/A	0.000
Arab-Berber descent	NO_MATCH	N/A	N/A	0.000
Arabic	Q13955	Arabic	Semitic language and lingua franca of the Arab world	1.000
Aragonese monarchy	NO_MATCH	N/A	N/A	0.000
Archaeocyatha	Q510821	Archaeocyatha	class of sponges	1.000
Arctic and Alpine regions	NO_MATCH	N/A	N/A	0.000
Arctic and Antarctic regions	NO_MATCH	N/A	N/A	0.000
Ares	Q37103552	Ares	family name	1.000
Arisbe	Q21442226	Arisbe	subgenus of insects	1.000
Arkansas	Q1612	Arkansas	state of the United States of America	1.000
Artaxerxes I	Q371319	Ardashir I	founder of the Sassanid Empire (224–242)	1.000
Arthritis	Q170990	arthritis	any of several joint disorders, some autoimmune, some infectious	1.000
Arthur Dent	Q613901	Arthur Dent	fictional character	1.000
Arthur Sullivan	Q212692	Arthur Sullivan	English composer of the Gilbert & Sullivan duo (1842-1900)	1.000
Asia	Q48	Asia	biggest continent in the world	1.000
Asia and Australia	NO_MATCH	N/A	N/A	0.000
Aspirin	Q18216	aspirin	medication used to treat pain and decrease the risk of heart disease	1.000
Asturian folklore and literature	NO_MATCH	N/A	N/A	0.000
Atai	Q37448291	Atai	family name	1.000
Athena	Q16419987	Athena	female given name	1.000
August 897	NO_MATCH	N/A	N/A	0.000
Australia	Q408	Australia	country in Oceania	1.000
Australian youth culture during the 1970s and 1980s	NO_MATCH	N/A	N/A	0.000
Austria during World War II	NO_MATCH	N/A	N/A	0.000
Azure platform	NO_MATCH	N/A	N/A	0.000
BMI	Q17849328	BMI1	protein-coding gene in the species Homo sapiens	0.881
Baffin Bay to Lancaster Sound	NO_MATCH	N/A	N/A	0.000
Baffin's 1615 expedition	NO_MATCH	N/A	N/A	0.000
Bagrati Cathedral	Q37222	Bagrati Cathedral	cathedral in Georgia	1.000
Barbed thread	NO_MATCH	N/A	N/A	0.000
Bartholomaeus Nigrinus	Q4865210	Bartholomaeus Nigrinus	Gdansk pastor	1.000
Basic Exchange Telecommunications Radio Service (BETRS)	NO_MATCH	N/A	N/A	0.000
Basque	Q8752	Basque	language of the Basque people	1.000
Basque culture	Q20977956	culture of Basque Country	culture in Europe	1.000
Basque history	NO_MATCH	N/A	N/A	0.000
Basque language	Q8752	Basque	language of the Basque people	1.000
Basque resistance against Franco's regime	NO_MATCH	N/A	N/A	0.000
Basquiat	Q94171309	Basquiat	family name	1.000
Basquiat's work	NO_MATCH	N/A	N/A	0.000
Battle of Lesnaya	Q166015	Battle of Lesnaya	1708 battle of the Great Northern War	1.000
Battle of Monte Cassino	Q335288	Battle of Monte Cassino	1944 assaults by the Allies against the Winter Line in Italy held by Axis forces during the Italian Campaign of World War II	1.000
Battle of Naissus	Q929265	Battle of Naissus	battle between the Goths and the Romans under Emperor Gallienus (268/269)	1.000
Behavior of gases	Q123373881	Behavior Of Gases	1962 film produced by Lee Grodzins	1.000
Beirut	Q3820	Beirut	capital and largest city of Lebanon	1.000
Bentley Motors Limited	NO_MATCH	N/A	N/A	0.000
Berengaria of Navarre	Q229807	Berengaria of Navarre	Medieval English queen consort	1.000
Bertrand Russell	Q33760	Bertrand Russell	British philosopher and logician (1872–1970)	1.000
Bill Gates	Q5284	Bill Gates	American businessman, investor, and philanthropist (born 1955)	1.000
Bioterrorism	Q854975	bioterrorism	terrorism involving the intentional release or dissemination of biological agents	1.000
Blackfeet Nation	Q33123248	Blackfeet Nation	federally recognized tribe of indigenous people in North America	1.000
Blythe Danner	Q40064	Blythe Danner	American actress	1.000
Bob Barker	Q381178	Bob Barker	American game show host (1923–2023)	1.000
Bob Stewart	Q341511	Bob Stewart	British politician (born 1949)	1.000
Body mass index	Q131191	body mass index	measure of relative weight based on an individual's mass and height	1.000
Bolivia	Q750	Bolivia	sovereign state in South America	1.000
Bologna, Italy	Q1891	Bologna	city and commune in Emilia-Romagna, Italy	1.000
Book of Judges	Q81240	Judges	seventh book of the Hebrew Bible and the Christian Old Testament	1.000
Boxing	Q32112	boxing	combat sport and martial art	1.000
Brandon Sanderson	Q457608	Brandon Sanderson	American fantasy writer	1.000
Brassicaceae family	NO_MATCH	N/A	N/A	0.000
Breviary of Alaric	Q943866	Breviary of Alaric	a collection of Roman law, compiled by order of Alaric II	1.000
British Aerospace HOTOL	Q1473217	HOTOL	spaceplane design	0.947
British forces	Q4969985	British Forces Aden	was the name given to the British Armed Forces stationed in the Aden Protectorate	0.937
Britomartis	Q743992	Britomartis	Butterfly genus in family Lycaenidae	1.000
Budj Bim National Park	Q1950297	Budj Bim National Park	national park in Victoria, Australia	1.000
Budj Bim lava flow	NO_MATCH	N/A	N/A	0.000
Bugs Bunny	Q183102	Bugs Bunny	Warner Bros. cartoon character	1.000
Bulgaria	Q219	Bulgaria	country in Southeast Europe	1.000
Bulgarian	Q7918	Bulgarian	South Slavic language	1.000
Bylot Strait	NO_MATCH	N/A	N/A	0.000
C.S. Lewis	Q9204	C. S. Lewis	British writer, lay theologian, and scholar (1898–1963)	1.000
C5H11N	Q1264157	C5H11N	Wikimedia disambiguation page	1.000
CD Lugo	Q11984	Club Deportivo Lugo	Spanish football team	1.000
Cada región de España	NO_MATCH	N/A	N/A	0.000
Cadaver Synod	Q1414811	Cadaver Synod	posthumous ecclesiastical trial of Pope Formosus	1.000
Cal Ripken Collegiate Baseball League	Q5018205	Cal Ripken Collegiate Baseball League	collegiate summer baseball league located in the Washington, D.C. and Baltimore, Maryland metropolitan areas	1.000
Calendars	Q17532715	Calendars	building in Burford, West Oxfordshire, England, UK	1.000
Cambridge University	Q35794	University of Cambridge	collegiate public research university in Cambridge, England, United Kingdom	1.000
Camp David Accords	Q309204	Camp David Accords	1978 political agreement between Egypt and Israel	1.000
Canada	Q16	Canada	country in North America	1.000
Cape Dezhnev	Q650495	Cape Dezhnyov	easternmost point of the Asian continent	1.000
Carbohydrates	Q11358	carbohydrate	organic compound that consists only of carbon, hydrogen, and oxygen	1.000
Caribbean Community (CARICOM)	NO_MATCH	N/A	N/A	0.000
Caribbean Sea	Q1247	Caribbean Sea	tropical sea of the Atlantic Ocean, located east of Central America, south of the Greater Antilles and north of South America	1.000
Carme	Q76150253	Carme	family name	1.000
Carolyn Beug	Q1174134	Carolyn Beug	American filmmaker (1952–2001)	1.000
Cary Grant	Q83410	Cary Grant	British-American actor (1904–1986)	1.000
Cary Grant's career	NO_MATCH	N/A	N/A	0.000
Catholic	Q1841	Catholicism	Christian doctrine professed by the Catholic Church	0.923
Chaitin's constant	Q735775	Chaitin's constant	number that represents the probability that a randomly constructed program will halt	1.000
Chalk	Q18041131	Chalk	family name	1.000
Chalk cliffs	Q49468061	Chalk Cliffs	cliff in Chaffee County, Colorado, United States	1.000
Channelers	NO_MATCH	N/A	N/A	0.000
Charles Williams	Q1066463	Charles Williams	American writer of hardboiled crime fiction (1909-1975)	1.000
Chess	Q718	chess	strategy board game	1.000
China	Q29520	China	cultural region, ancient civilization, and nation in East Asia, mostly refer to the People's Republic of China in political situation and rarely refer to the Republic of China	1.000
Chipley	Q2156023	Chipley	city in Washington County, Florida, United States	1.000
Christian	Q18001597	Christian	male given name	1.000
Christians	Q106039	Christian	person who adheres to Christianity	1.000
Cinnamon	Q1092551	Cinnamon	GTK+ 3-based desktop environment initially developed for Linux Mint	1.000
City of Naissus	NO_MATCH	N/A	N/A	0.000
Clay Millennium Prize	NO_MATCH	N/A	N/A	0.000
Cleopatra Selene II	Q40058	Cleopatra Selene II	queen consort of Mauretania from 25 to 5 BC	1.000
Cleopatra VII	Q635	Cleopatra	queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE	1.000
Clinton den Heyer	NO_MATCH	N/A	N/A	0.000
Cluniac reform movement	NO_MATCH	N/A	N/A	0.000
Cnidarians	Q25441	Cnidaria	phylum of animals	1.000
Cnidocytes	Q46268092	Cnidocytes and adjacent supporting cells form receptor-effector complexes in anemone tentacles	scientific article	0.321
Common Desktop Environment	Q49417	Common Desktop Environment	desktop environment for Unix and OpenVMS operating systems.	1.000
Commonwealth of Nations	Q7785	Commonwealth of Nations	political association of mostly former British Empire territories	1.000
Complex carbohydrates	Q136192512	complex carbohydrates		1.000
Computers	Q68	computer	general-purpose device for performing arithmetic or logical operations	1.000
Concept	Q151885	concept	semantic unit understood in different ways, e.g. as mental representation, ability or abstract object (philosophy)	1.000
Congregation for the Propagation of the Faith	NO_MATCH	N/A	N/A	0.000
Constructed languages	Q33683	list of constructed languages	Wikimedia list article	1.000
Coral Sea	Q82931	Coral Sea	marginal sea of the South Pacific off the northeast coast of Australia	1.000
Cornwall	Q23148	Cornwall	historic county of England and Celtic nation	1.000
Count of Anjou in 1129	NO_MATCH	N/A	N/A	0.000
County Durham	Q67300436	County Durham	historic county of England, United Kingdom	1.000
Crewe, England	NO_MATCH	N/A	N/A	0.000
Crohn's disease	Q1472	Crohn's disease	type of inflammatory bowel disease	1.000
Cronus	Q44204	Cronus	ruler of the Titans in Greek mythology	1.000
Crystal Globe award	NO_MATCH	N/A	N/A	0.000
DSL	Q192546	Damn Small Linux	Lightweight, desktop-oriented Linux distribution	0.851
DSL technology	NO_MATCH	N/A	N/A	0.000
DSL-Lite	NO_MATCH	N/A	N/A	0.000
Daffy Duck	Q96076258	Daffy Duck	1994 handheld video game	1.000
Damon Knight	Q534599	Damon Knight	American science fiction writer, editor and critic (1922–2002)	1.000
Danish	Q9035	Danish	North Germanic language spoken in Northern Europe	1.000
Datura stramonium	Q30959	Datura stramonium	species of plant	1.000
Dave Brock	Q1032403	Dave Brock	British musician	1.000
December 27, 1965	Q69287503	December 27, 1965	date in Gregorian calendar	1.000
Dekker's algorithm	Q1183654	Dekker's algorithm	the first known correct solution to the mutual exclusion problem in concurrent programming	1.000
Denis Gaultier	Q670558	Denis Gaultier	French lutenist and composer	1.000
Denis Gaultier's music	NO_MATCH	N/A	N/A	0.000
Descendants of John of Gaunt	NO_MATCH	N/A	N/A	0.000
Desmothoracids	NO_MATCH	N/A	N/A	0.000
Didymus Chalcenterus	Q506540	Didymus Chalcenterus	Greek scholar and grammarian (c.63 BC–c.AD 10)	1.000
Diego de Almagro	Q207668	Diego de Almagro	Spanish conquistador	1.000
Dionysius Thrax	Q344124	Dionysius Thrax	ancient Greek grammarian	1.000
Dionysius Thrax's work "Art of Grammar"	NO_MATCH	N/A	N/A	0.000
Diospyros	Q165258	Diospyros	genus of plants	1.000
Disciplines such as law and ethics	NO_MATCH	N/A	N/A	0.000
Doctor Doom	Q430178	Doctor Doom	fictional character in Marvel Comics	1.000
Douglas Adams' science fiction series "The Hitchhiker's Guide to the Galaxy"	NO_MATCH	N/A	N/A	0.000
Dover, England	Q179224	Dover	town and major ferry port in Kent, South East England	1.000
Draco	Q8675	Draco	constellation in the northern celestial hemisphere	1.000
Drew Carey	Q357402	Drew Carey	American comedian (born 1958)	1.000
Druze	Q6851218	Druze flag	flag of the Druze people	0.770
Dwarfie Stane	Q1268415	Dwarfie Stane	Carved Megalithic chambered tomb in Scotland	1.000
ERA	Q3730974	Era	female given name	1.000
Each player	NO_MATCH	N/A	N/A	0.000
Each region of Italy	NO_MATCH	N/A	N/A	0.000
Earth	Q2	Earth	third planet from the Sun in the Solar System	1.000
Earth's entry	NO_MATCH	N/A	N/A	0.000
East coast akalat	Q2673586	East Coast Akalat	species of bird	1.000
Ebenaceae	Q156669	Ebenaceae	family of plants	1.000
Ebenales	Q2592664	Ebenales	order of plants	1.000
Ecuador	Q736	Ecuador	sovereign state in South America	1.000
Eddie Felson	NO_MATCH	N/A	N/A	0.000
Educational perennialism	Q847040	Educational perennialism	Educational philosophy	1.000
Efforts in preparedness and response planning	NO_MATCH	N/A	N/A	0.000
Elementary functions	Q114232386	Elementary Functions and Factorizations of Zeons	scientific article published in 2018	0.674
Eliakim	Q88542508	Eliakim	male given name	1.000
Elkins Act	Q5364321	Elkins Act	1903 United States federal law	1.000
Emperor Gallienus	NO_MATCH	N/A	N/A	0.000
Emperor Go-Kameyama	Q451864	Go-Kameyama	emperor of Japan	1.000
Emperor Keitai	Q349277	Keitai	Emperor of Japan	1.000
Emperor Ninken	Q357266	Emperor Ninken	Emperor of Japan	1.000
Emperor Richū	Q329704	Richū	Japanese emperor	1.000
Emperor Suinin	Q314850	Suinin	Emperor of Japan	1.000
Emperor Sutoku	Q349287	Emperor Sutoku	Emperor of Japan	1.000
Emperor Ōjin	Q317997	Ōjin	Emperor of Japan	1.000
Empress Jingu	Q232803	Empress Jingū	legendary empress of Japan (170–269) said to have invaded Korea	1.000
Empress Matilda	Q150872	Empress Matilda	Holy Roman Empress (1114–1125); claimant to the English throne	1.000
Enduring ideas and concepts	NO_MATCH	N/A	N/A	0.000
England	Q21	England	country in north-west Europe, part of the United Kingdom	1.000
England during Richard's reign	NO_MATCH	N/A	N/A	0.000
Environmental skepticism	Q5371679	environmental skepticism	skepticism of environmentalism	1.000
Environmental skeptics	Q50810929	Environmental Skeptics and Critics	Academic journal published by International Academy of Ecology and Environmental Sciences , covering the subjects: Geography. Anthropology. Recreation: Environmental sciences | Science: Biology (General): Ecology	0.827
Epicaste	Q131445	Jocasta	mythological queen of Thebes	1.000
Erasmus	Q18670572	Erasmus	male given name	1.000
Eretz Yisrael Faithful Movement	NO_MATCH	N/A	N/A	0.000
Eric Idle	Q210741	Eric Idle	British comedian, actor and writer (born 1943)	1.000
Erysimum 'Chelsea Jacket'	NO_MATCH	N/A	N/A	0.000
Eskimo bowline	Q4532732	Eskimo bowline	loop knot	1.000
Esperanto	Q143	Esperanto	international auxiliary language designed by L. L. Zamenhof	1.000
Ethiopia's main ports	NO_MATCH	N/A	N/A	0.000
Ethiopian Airlines	Q245233	Ethiopian Airlines	flag-carrier airline of Ethiopia	1.000
Eu	Q211593	Eu	commune in Seine-Maritime, France	1.000
Eudoxia Lopukhina	Q240145	Eudoxia Lopukhina	russian Tsarina as the first wife of Peter I	1.000
Eunomius of Cyzicus	Q452225	Eunomius of Cyzicus	Arian bishop	1.000
Europe	Q46	Europe	continent in the Northern Hemisphere	1.000
European Space Agency's Space Rider	NO_MATCH	N/A	N/A	0.000
European Strategic Programme on Research in Information Technology	NO_MATCH	N/A	N/A	0.000
European settlers	NO_MATCH	N/A	N/A	0.000
Europium	Q1396	europium	chemical element with atomic number of 63	1.000
Eusko Abendaren Ereserkia	Q876581	Eusko Abendaren Ereserkia	national anthem	1.000
Examples of elementary functions	NO_MATCH	N/A	N/A	0.000
Examples of toxins	NO_MATCH	N/A	N/A	0.000
Father Vicente Francisco de Sarría	NO_MATCH	N/A	N/A	0.000
February 3, 1943	Q69275603	February 3, 1943	date in Gregorian calendar	1.000
Feersum Endjinn	Q60376485	Feersum Endjinn	1994 edition	1.000
Ferrol, Galicia	Q14396583	Ferrol, Galicia weather	Wikimedia template	0.844
Fields Medal	Q28835	Fields medal	prize awarded every four years to two, three, or four mathematicians under 40 years of age at the International Congress of the International Mathematical Union	1.000
Fionn mac Cumhaill	Q382610	Fionn mac Cumhaill	Irish mythical hero	1.000
